document,api method name,description
Java se 8 api documentation,"java.time.format.DateTimeFormatter.parse(java.lang.CharSequence,java.time.temporal.TemporalQuery<T>)",fully parses the text producing an object of the specified type.
Java se 8 api documentation,java.awt.BasicStroke.getLineJoin(),returns the line join style.
Java se 8 api documentation,java.awt.LayoutManager2.maximumLayoutSize(java.awt.Container),"calculates the maximum size dimensions for the specified container, given the components it contains."
Java se 8 api documentation,java.awt.Graphics2D.setPaint(java.awt.Paint),sets the paint attribute for the graphics2d context.
Java se 8 api documentation,"java.awt.font.TextMeasurer.insertChar(java.text.AttributedCharacterIterator,int)",updates the textmeasurer after a single character has been inserted into the paragraph currently represented by this textmeasurer.
Java se 8 api documentation,java.awt.Graphics2D.getStroke(),returns the current stroke in the graphics2d context.
Java se 8 api documentation,java.awt.KeyboardFocusManager.getGlobalActiveWindow(),"returns the active window, even if the calling thread is in a different context than the active window."
Java se 8 api documentation,java.util.PrimitiveIterator.forEachRemaining(java.util.PrimitiveIterator),"performs the given action for each remaining element, in the order elements occur when iterating, until all elements have been processed or the action throws an exception."
Java se 8 api documentation,"java.awt.font.GlyphVector.getPixelBounds(java.awt.font.FontRenderContext,float,float)",returns the pixel bounds of this glyphvector when rendered in a graphics with the given fontrendercontext at the given location.
Java se 8 api documentation,java.util.PrimitiveIterator.OfDouble.forEachRemaining(java.util.function.Consumer<? super java.lang.Double>),performs the given action for each remaining element until all elements have been processed or the action throws an exception.
Java se 8 api documentation,java.io.DataOutput.writeDouble(double),"writes a double value, which is comprised of eight bytes, to the output stream."
Java se 8 api documentation,java.awt.font.TextLayout.toString(),returns debugging information for this textlayout.
Java se 8 api documentation,java.awt.AWTEventMulticaster.mouseDragged(java.awt.event.MouseEvent),handles the mousedragged event by invoking the mousedragged methods on listener-a and listener-b.
Java se 8 api documentation,"java.awt.Component.setSize(int,int)",resizes this component so that it has width width and height height.
Java se 8 api documentation,java.awt.PrintJob.finalize(),ends this print job once it is no longer referenced.
Java se 8 api documentation,java.awt.image.WritableRaster.setRect(java.awt.image.Raster),copies pixels from raster srcraster to this writableraster.
Java se 8 api documentation,"java.util.concurrent.ConcurrentHashMap.forEach(long,java.util.function.BiFunction<? super,? super,? extends U>,java.util.function.Consumer<? super U>)","performs the given action for each non-null transformation of each (key, value)."
Java se 8 api documentation,java.io.PrintWriter.println(java.lang.Object),prints an object and then terminates the line.
Java se 8 api documentation,java.awt.dnd.DropTargetContext.getCurrentDataFlavorsAsList(),this method returns a the currently available dataflavors of the transferable operand as a java.
Java se 8 api documentation,java.awt.Component.removeKeyListener(java.awt.event.KeyListener),removes the specified key listener so that it no longer receives key events from this component.
Java se 8 api documentation,java.io.CharArrayWriter.write(int),writes a character to the buffer.
Java se 8 api documentation,java.util.stream.Stream.forEachOrdered(java.util.function.Consumer<? super java.util.stream.Stream>),"performs an action for each element of this stream, in the encounter order of the stream if the stream has a defined encounter order."
Java se 8 api documentation,"java.awt.font.TextLayout.getPixelBounds(java.awt.font.FontRenderContext,float,float)",returns the pixel bounds of this textlayout when rendered in a graphics with the given fontrendercontext at the given location.
Java se 8 api documentation,java.awt.Window.getLocale(),"gets the locale object that is associated with this window, if the locale has been set."
Java se 8 api documentation,java.lang.String.concat(java.lang.String),concatenates the specified string to the end of this string.
Java se 8 api documentation,javax.sound.sampled.DataLine.getLevel(),obtains the current volume level for the line.
Java se 8 api documentation,"java.awt.image.DataBuffer.setElemFloat(int,int,float)",sets the requested data array element in the specified bank from the given float.
Java se 8 api documentation,java.awt.Window.getLocale(),"gets the locale object that is associated with this window, if the locale has been set."
Java se 8 api documentation,java.io.PrintWriter.println(char[]),prints an array of characters and then terminates the line.
Java se 8 api documentation,java.io.CharArrayWriter.write(int),writes a character to the buffer.
Java se 8 api documentation,java.util.stream.IntStream.forEachOrdered(java.util.function.IntConsumer),"performs an action for each element of this stream, guaranteeing that each element is processed in encounter order for streams that have a defined encounter order."
Java se 8 api documentation,java.lang.Iterable.forEach(java.util.function.Consumer<? super java.lang.Iterable>),performs the given action for each element of the iterable until all elements have been processed or the action throws an exception.
Java se 8 api documentation,java.awt.Choice.removeItemListener(java.awt.event.ItemListener),removes the specified item listener so that it no longer receives item events from this choice menu.
Java se 8 api documentation,java.awt.Graphics2D.setPaint(java.awt.Paint),sets the paint attribute for the graphics2d context.
Java se 8 api documentation,java.awt.AWTEventMulticaster.componentRemoved(java.awt.event.ContainerEvent),handles the componentremoved container event by invoking the componentremoved methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.Toolkit.createDesktopPeer(java.awt.Desktop),creates this toolkit's implementation of the desktop using the specified peer interface.
Java se 8 api documentation,"java.awt.LayoutManager2.addLayoutComponent(java.awt.Component,java.lang.Object)","adds the specified component to the layout, using the specified constraint object."
Java se 8 api documentation,java.awt.Window.removeWindowListener(java.awt.event.WindowListener),removes the specified window listener so that it no longer receives window events from this window.
Java se 8 api documentation,"java.awt.GraphicsConfiguration.createCompatibleVolatileImage(int,int,java.awt.ImageCapabilities)","returns a volatileimage with a data layout and color model compatible with this graphicsconfiguration, using the specified image capabilities."
Java se 8 api documentation,java.awt.AWTEventMulticaster.focusLost(java.awt.event.FocusEvent),handles the focuslost event by invoking the focuslost methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.AWTEventMulticaster.windowClosing(java.awt.event.WindowEvent),handles the windowclosing event by invoking the windowclosing methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.image.RenderedImage.getNumYTiles(),returns the number of tiles in the y direction.
Java se 8 api documentation,"java.awt.font.TextLayout.getPixelBounds(java.awt.font.FontRenderContext,float,float)",returns the pixel bounds of this textlayout when rendered in a graphics with the given fontrendercontext at the given location.
Java se 8 api documentation,java.awt.font.OpenType.getFontTable(int),returns the table as an array of bytes for a specified tag.
Java se 8 api documentation,java.util.Spliterator.OfDouble.forEachRemaining(java.util.function.Consumer<? super java.lang.Double>),"performs the given action for each remaining element, sequentially in the current thread, until all elements have been processed or the action throws an exception."
Java se 8 api documentation,"java.awt.KeyboardFocusManager.processKeyEvent(java.awt.Component,java.awt.event.KeyEvent)",this method initiates a focus traversal operation if and only if the keyevent represents a focus traversal key for the specified focusedcomponent.
Java se 8 api documentation,"java.awt.image.DataBufferByte.getElem(int,int)",returns the requested data array element from the specified bank.
Java se 8 api documentation,java.awt.AWTEventMulticaster.focusGained(java.awt.event.FocusEvent),handles the focusgained event by invoking the focusgained methods on listener-a and listener-b.
Java se 8 api documentation,"java.awt.image.DataBufferFloat.getElemFloat(int,int)",returns the requested data array element from the specified bank as a float.
Java se 8 api documentation,java.awt.BorderLayout.minimumLayoutSize(java.awt.Container),determines the minimum size of the target container using this layout manager.
Java se 8 api documentation,java.awt.datatransfer.SystemFlavorMap.decodeJavaMIMEType(java.lang.String),decodes a string native for use as a java mime type.
Java se 8 api documentation,java.awt.CardLayout.invalidateLayout(java.awt.Container),"invalidates the layout, indicating that if the layout manager has cached information it should be discarded."
Java se 8 api documentation,"java.awt.Color.getColor(java.lang.String,java.awt.Color)",finds a color in the system properties.
Java se 8 api documentation,"java.awt.FontMetrics.getStringBounds(java.lang.String,int,int,java.awt.Graphics)",returns the bounds of the specified string in the specified graphics context.
Java se 8 api documentation,java.io.DataOutput.writeChar(int),"writes a char value, which is comprised of two bytes, to the output stream."
Java se 8 api documentation,java.awt.AWTEventMulticaster.componentAdded(java.awt.event.ContainerEvent),handles the componentadded container event by invoking the componentadded methods on listener-a and listener-b.
Java se 8 api documentation,"java.awt.image.WritableRaster.setRect(int,int,java.awt.image.Raster)",copies pixels from raster srcraster to this writableraster.
Java se 8 api documentation,java.awt.image.BufferedImage.getData(),returns the image as one large tile.
Java se 8 api documentation,java.util.stream.IntStream.forEachOrdered(java.util.function.IntConsumer),"performs an action for each element of this stream, guaranteeing that each element is processed in encounter order for streams that have a defined encounter order."
Java se 8 api documentation,javax.sound.sampled.DataLine.getLevel(),obtains the current volume level for the line.
Java se 8 api documentation,java.awt.AWTEventMulticaster.caretPositionChanged(java.awt.event.InputMethodEvent),handles the caretpositionchanged event by invoking the caretpositionchanged methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.Toolkit.createDesktopPeer(java.awt.Desktop),creates this toolkit's implementation of the desktop using the specified peer interface.
Java se 8 api documentation,"java.awt.image.DataBufferUShort.getElem(int,int)",returns the requested data array element from the specified bank.
Java se 8 api documentation,"java.awt.FontMetrics.getLineMetrics(java.lang.String,int,int,java.awt.Graphics)",returns the linemetrics object for the specified string in the specified graphics context.
Java se 8 api documentation,java.awt.KeyboardFocusManager.getFocusOwner(),"returns the focus owner, if the focus owner is in the same context as the calling thread."
Java se 8 api documentation,"java.awt.image.ComponentColorModel.getDataElements(int,java.lang.Object)","returns a data element array representation of a pixel in this colormodel, given an integer pixel representation in the default rgb color model."
Java se 8 api documentation,java.awt.KeyboardFocusManager.downFocusCycle(java.awt.Container),moves the focus down one focus traversal cycle.
Java se 8 api documentation,java.awt.KeyboardFocusManager.clearGlobalFocusOwner(),clears the global focus owner at both the java and native levels.
Java se 8 api documentation,java.io.PrintWriter.println(char),prints a character and then terminates the line.
Java se 8 api documentation,"java.awt.FontMetrics.getStringBounds(java.lang.String,java.awt.Graphics)",returns the bounds of the specified string in the specified graphics context.
Java se 8 api documentation,java.awt.Dialog.setVisible(boolean),shows or hides this dialog depending on the value of parameter b.
Java se 8 api documentation,java.awt.Toolkit.getSystemSelection(),gets the singleton instance of the system selection as a clipboard object.
Java se 8 api documentation,"java.awt.Component.addPropertyChangeListener(java.lang.String,java.beans.PropertyChangeListener)",adds a propertychangelistener to the listener list for a specific property.
Java se 8 api documentation,"java.awt.Container.addImpl(java.awt.Component,java.lang.Object,int)",adds the specified component to this container at the specified index.
Java se 8 api documentation,java.awt.Component.removeMouseMotionListener(java.awt.event.MouseMotionListener),removes the specified mouse motion listener so that it no longer receives mouse motion events from this component.
Java se 8 api documentation,java.awt.KeyboardFocusManager.getCurrentFocusCycleRoot(),"returns the current focus cycle root, if the current focus cycle root is in the same context as the calling thread."
Java se 8 api documentation,java.awt.GridBagLayout.invalidateLayout(java.awt.Container),"invalidates the layout, indicating that if the layout manager has cached information it should be discarded."
Java se 8 api documentation,java.awt.AWTEventMulticaster.mouseMoved(java.awt.event.MouseEvent),handles the mousemoved event by invoking the mousemoved methods on listener-a and listener-b.
Java se 8 api documentation,java.lang.Byte.doubleValue(),returns the value of this byte as a double after a widening primitive conversion.
Java se 8 api documentation,java.awt.Menu.addSeparator(),"adds a separator line, or a hypen, to the menu at the current position."
Java se 8 api documentation,"java.awt.DefaultKeyboardFocusManager.processKeyEvent(java.awt.Component,java.awt.event.KeyEvent)",this method initiates a focus traversal operation if and only if the keyevent represents a focus traversal key for the specified focusedcomponent.
Java se 8 api documentation,java.awt.image.ColorModel.getAlpha(int),"returns the alpha component for the specified pixel, scaled from 0 to 255."
Java se 8 api documentation,java.awt.AWTEventMulticaster.mouseExited(java.awt.event.MouseEvent),handles the mouseexited event by invoking the mouseexited methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.Desktop.mail(java.net.URI),"launches the mail composing window of the user default mail client, filling the message fields specified by a mailto: uri."
Java se 8 api documentation,java.io.DataOutput.writeFloat(float),"writes a float value, which is comprised of four bytes, to the output stream."
Java se 8 api documentation,java.awt.image.WritableRaster.setRect(java.awt.image.Raster),copies pixels from raster srcraster to this writableraster.
Java se 8 api documentation,"javax.management.modelmbean.ModelMBeanInfo.setDescriptor(javax.management.Descriptor,java.lang.String)",sets descriptors in the info array of type indescriptortype for the modelmbean.
Java se 8 api documentation,"java.io.BufferedReader.read(char[],int,int)",reads characters into a portion of an array.
Java se 8 api documentation,java.awt.DefaultKeyboardFocusManager.downFocusCycle(java.awt.Container),moves the focus down one focus traversal cycle.
Java se 8 api documentation,"java.awt.image.DataBufferShort.getElem(int,int)",returns the requested data array element from the specified bank.
Java se 8 api documentation,java.util.stream.DoubleStream.forEach(java.util.function.DoubleConsumer),performs an action for each element of this stream.
Java se 8 api documentation,"java.awt.AWTEventMulticaster.removeInternal(java.util.EventListener,java.util.EventListener)",returns the resulting multicast listener after removing the old listener from listener-l.
Java se 8 api documentation,java.awt.image.DataBuffer.getElemFloat(int),returns the requested data array element from the first (default) bank as a float.
Java se 8 api documentation,java.awt.TextField.removeActionListener(java.awt.event.ActionListener),removes the specified action listener so that it no longer receives action events from this text field.
Java se 8 api documentation,java.awt.BorderLayout.preferredLayoutSize(java.awt.Container),"determines the preferred size of the target container using this layout manager, based on the components in the container."
Java se 8 api documentation,java.util.concurrent.CountedCompleter.exec(),implements execution conventions for countedcompleters.
Java se 8 api documentation,"java.awt.image.DataBufferUShort.getElem(int,int)",returns the requested data array element from the specified bank.
Java se 8 api documentation,"java.awt.FontMetrics.getStringBounds(java.lang.String,java.awt.Graphics)",returns the bounds of the specified string in the specified graphics context.
Java se 8 api documentation,java.io.PrintWriter.println(char[]),prints an array of characters and then terminates the line.
Java se 8 api documentation,java.awt.AWTEventMulticaster.itemStateChanged(java.awt.event.ItemEvent),handles the itemstatechanged event by invoking the itemstatechanged methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.Container.removeContainerListener(java.awt.event.ContainerListener),removes the specified container listener so it no longer receives container events from this container.
Java se 8 api documentation,"java.awt.Window.setSize(int,int)",resizes this component so that it has width width and height height.
Java se 8 api documentation,java.awt.Window.getLocale(),"gets the locale object that is associated with this window, if the locale has been set."
Java se 8 api documentation,java.awt.AWTEventMulticaster.focusLost(java.awt.event.FocusEvent),handles the focuslost event by invoking the focuslost methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.Dialog.setVisible(boolean),shows or hides this dialog depending on the value of parameter b.
Java se 8 api documentation,java.awt.KeyboardFocusManager.upFocusCycle(),moves the focus up one focus traversal cycle from the current focus owner.
Java se 8 api documentation,java.awt.Graphics2D.setPaint(java.awt.Paint),sets the paint attribute for the graphics2d context.
Java se 8 api documentation,java.awt.AWTEventMulticaster.componentRemoved(java.awt.event.ContainerEvent),handles the componentremoved container event by invoking the componentremoved methods on listener-a and listener-b.
Java se 8 api documentation,"java.awt.Component.addPropertyChangeListener(java.lang.String,java.beans.PropertyChangeListener)",adds a propertychangelistener to the listener list for a specific property.
Java se 8 api documentation,"java.awt.image.DataBufferDouble.getElemFloat(int,int)",returns the requested data array element from the specified bank as a float.
Java se 8 api documentation,java.awt.Desktop.open(java.io.File),launches the associated application to open the file.
Java se 8 api documentation,"java.awt.Container.addPropertyChangeListener(java.lang.String,java.beans.PropertyChangeListener)",adds a propertychangelistener to the listener list for a specific property.
Java se 8 api documentation,java.util.Spliterator.OfPrimitive.forEachRemaining(java.util.Spliterator.OfPrimitive),"performs the given action for each remaining element, sequentially in the current thread, until all elements have been processed or the action throws an exception."
Java se 8 api documentation,"java.awt.FontMetrics.getStringBounds(char[],int,int,java.awt.Graphics)",returns the bounds of the specified array of characters in the specified graphics context.
Java se 8 api documentation,java.awt.AWTEventMulticaster.mouseExited(java.awt.event.MouseEvent),handles the mouseexited event by invoking the mouseexited methods on listener-a and listener-b.
Java se 8 api documentation,"java.util.concurrent.ConcurrentHashMap.forEach(long,java.util.function.BiFunction<? super,? super,? extends U>,java.util.function.Consumer<? super U>)","performs the given action for each non-null transformation of each (key, value)."
Java se 8 api documentation,"java.awt.GraphicsConfiguration.createCompatibleVolatileImage(int,int,java.awt.ImageCapabilities,int)","returns a volatileimage with a data layout and color model compatible with this graphicsconfiguration, using the specified image capabilities and transparency value."
Java se 8 api documentation,java.awt.KeyboardFocusManager.upFocusCycle(),moves the focus up one focus traversal cycle from the current focus owner.
Java se 8 api documentation,java.awt.CheckboxMenuItem.getSelectedObjects(),returns the an array (length 1) containing the checkbox menu item label or null if the checkbox is not selected.
Java se 8 api documentation,java.awt.Scrollbar.processEvent(java.awt.AWTEvent),processes events on this scroll bar.
Java se 8 api documentation,"java.time.format.DateTimeFormatter.parseBest(java.lang.CharSequence,java.time.temporal.TemporalQuery<?>)",fully parses the text producing an object of one of the specified types.
Java se 8 api documentation,java.util.PrimitiveIterator.forEachRemaining(java.util.PrimitiveIterator),"performs the given action for each remaining element, in the order elements occur when iterating, until all elements have been processed or the action throws an exception."
Java se 8 api documentation,java.awt.KeyboardFocusManager.getCurrentFocusCycleRoot(),"returns the current focus cycle root, if the current focus cycle root is in the same context as the calling thread."
Java se 8 api documentation,java.awt.KeyboardFocusManager.downFocusCycle(),"moves the focus down one focus traversal cycle from the current focus owner, if and only if the current focus owner is a container that is a focus cycle root."
Java se 8 api documentation,java.awt.font.OpenType.getFontTable(java.lang.String),returns the table as an array of bytes for a specified tag.
Java se 8 api documentation,"java.util.Map.forEach(java.util.function.BiConsumer<? super,? super java.util.Map>)",performs the given action for each entry in this map until all entries have been processed or the action throws an exception.
Java se 8 api documentation,java.awt.image.DataBuffer.getElemFloat(int),returns the requested data array element from the first (default) bank as a float.
Java se 8 api documentation,javax.sound.sampled.DataLine.getLevel(),obtains the current volume level for the line.
Java se 8 api documentation,"java.awt.BorderLayout.addLayoutComponent(java.awt.Component,java.lang.Object)","adds the specified component to the layout, using the specified constraint object."
Java se 8 api documentation,"java.awt.FontMetrics.getLineMetrics(java.lang.String,int,int,java.awt.Graphics)",returns the linemetrics object for the specified string in the specified graphics context.
Java se 8 api documentation,java.io.PrintStream.println(java.lang.String),prints a string and then terminate the line.
Java se 8 api documentation,java.awt.datatransfer.Clipboard.removeFlavorListener(java.awt.datatransfer.FlavorListener),removes the specified flavorlistener so that it no longer receives flavorevents from this clipboard.
Java se 8 api documentation,"java.awt.KeyboardFocusManager.processKeyEvent(java.awt.Component,java.awt.event.KeyEvent)",this method initiates a focus traversal operation if and only if the keyevent represents a focus traversal key for the specified focusedcomponent.
Java se 8 api documentation,java.awt.image.DataBufferDouble.getElemFloat(int),returns the requested data array element from the first (default) bank as a float.
Java se 8 api documentation,java.awt.TextField.setEchoChar(char),sets the echo character for this text field.
Java se 8 api documentation,javax.activation.FileTypeMap.getDefaultFileTypeMap(),return the default filetypemap for the system.
Java se 8 api documentation,java.awt.Toolkit.getSystemSelection(),gets the singleton instance of the system selection as a clipboard object.
Java se 8 api documentation,java.awt.image.BufferedImage.getNumXTiles(),returns the number of tiles in the x direction.
Java se 8 api documentation,"java.util.concurrent.ConcurrentHashMap.forEachValue(long,java.util.function.Consumer<? super java.util.concurrent.ConcurrentHashMap>)",performs the given action for each value.
Java se 8 api documentation,"java.util.Map.forEach(java.util.function.BiConsumer<? super,? super java.util.Map>)",performs the given action for each entry in this map until all entries have been processed or the action throws an exception.
Java se 8 api documentation,java.awt.KeyboardFocusManager.getGlobalFocusedWindow(),"returns the focused window, even if the calling thread is in a different context than the focused window."
Java se 8 api documentation,"java.awt.BorderLayout.addLayoutComponent(java.awt.Component,java.lang.Object)","adds the specified component to the layout, using the specified constraint object."
Java se 8 api documentation,java.awt.AWTEventMulticaster.windowStateChanged(java.awt.event.WindowEvent),handles the windowstatechanged event by invoking the windowstatechanged methods on listener-a and listener-b.
Java se 8 api documentation,"java.awt.List.add(java.lang.String,int)",adds the specified item to the the scrolling list at the position indicated by the index.
Java se 8 api documentation,java.awt.AWTEventMulticaster.hierarchyChanged(java.awt.event.HierarchyEvent),handles the hierarchychanged event by invoking the hierarchychanged methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.Component.getMousePosition(),"returns the position of the mouse pointer in this component's coordinate space if the component is directly under the mouse pointer, otherwise returns null."
Java se 8 api documentation,java.awt.Scrollbar.processEvent(java.awt.AWTEvent),processes events on this scroll bar.
Java se 8 api documentation,"java.awt.font.LineBreakMeasurer.deleteChar(java.text.AttributedCharacterIterator,int)","updates this linebreakmeasurer after a single character is deleted from the text, and sets the current position to the beginning of the paragraph."
Java se 8 api documentation,java.awt.KeyboardFocusManager.getCurrentFocusCycleRoot(),"returns the current focus cycle root, if the current focus cycle root is in the same context as the calling thread."
Java se 8 api documentation,java.awt.AWTEventMulticaster.keyTyped(java.awt.event.KeyEvent),handles the keytyped event by invoking the keytyped methods on listener-a and listener-b.
Java se 8 api documentation,java.lang.management.MemoryMXBean.setVerbose(boolean),enables or disables verbose output for the memory system.
Java se 8 api documentation,java.awt.dnd.DropTargetContext.getCurrentDataFlavorsAsList(),this method returns a the currently available dataflavors of the transferable operand as a java.
Java se 8 api documentation,java.awt.AWTEventMulticaster.mouseMoved(java.awt.event.MouseEvent),handles the mousemoved event by invoking the mousemoved methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.Toolkit.getSystemSelection(),gets the singleton instance of the system selection as a clipboard object.
Java se 8 api documentation,java.io.PrintStream.println(float),prints a float and then terminate the line.
Java se 8 api documentation,"java.awt.image.LookupOp.filter(java.awt.image.Raster,java.awt.image.WritableRaster)",performs a lookup operation on a raster.
Java se 8 api documentation,java.awt.image.RenderedImage.getNumYTiles(),returns the number of tiles in the y direction.
Java se 8 api documentation,java.awt.Rectangle.setBounds(java.awt.Rectangle),sets the bounding rectangle of this rectangle to match the specified rectangle.
Java se 8 api documentation,java.awt.GraphicsDevice.getFullScreenWindow(),returns the window object representing the full-screen window if the device is in full-screen mode.
Java se 8 api documentation,java.awt.KeyboardFocusManager.getGlobalFocusOwner(),"returns the focus owner, even if the calling thread is in a different context than the focus owner."
Java se 8 api documentation,java.io.PrintStream.println(boolean),prints a boolean and then terminate the line.
Java se 8 api documentation,java.awt.AWTEventMulticaster.windowClosing(java.awt.event.WindowEvent),handles the windowclosing event by invoking the windowclosing methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.KeyboardFocusManager.upFocusCycle(),moves the focus up one focus traversal cycle from the current focus owner.
Java se 8 api documentation,"java.awt.image.DataBuffer.setElemFloat(int,int,float)",sets the requested data array element in the specified bank from the given float.
Java se 8 api documentation,"java.io.BufferedReader.read(char[],int,int)",reads characters into a portion of an array.
Java se 8 api documentation,"java.awt.image.DataBufferDouble.getElemFloat(int,int)",returns the requested data array element from the specified bank as a float.
Java se 8 api documentation,java.util.Spliterator.OfInt.forEachRemaining(java.util.function.Consumer<? super java.lang.Integer>),"performs the given action for each remaining element, sequentially in the current thread, until all elements have been processed or the action throws an exception."
Java se 8 api documentation,java.awt.font.OpenType.getFontTable(java.lang.String),returns the table as an array of bytes for a specified tag.
Java se 8 api documentation,java.awt.Window.setBounds(java.awt.Rectangle),moves and resizes this component to conform to the new bounding rectangle r.
Java se 8 api documentation,java.awt.BorderLayout.minimumLayoutSize(java.awt.Container),determines the minimum size of the target container using this layout manager.
Java se 8 api documentation,java.awt.Window.removeWindowStateListener(java.awt.event.WindowStateListener),removes the specified window state listener so that it no longer receives window events from this window.
Java se 8 api documentation,"java.awt.Container.addPropertyChangeListener(java.lang.String,java.beans.PropertyChangeListener)",adds a propertychangelistener to the listener list for a specific property.
Java se 8 api documentation,java.util.stream.Stream.forEachOrdered(java.util.function.Consumer<? super java.util.stream.Stream>),"performs an action for each element of this stream, in the encounter order of the stream if the stream has a defined encounter order."
Java se 8 api documentation,java.io.PrintWriter.println(java.lang.Object),prints an object and then terminates the line.
Java se 8 api documentation,java.io.CharArrayWriter.write(int),writes a character to the buffer.
Java se 8 api documentation,java.util.stream.DoubleStream.forEachOrdered(java.util.function.DoubleConsumer),"performs an action for each element of this stream, guaranteeing that each element is processed in encounter order for streams that have a defined encounter order."
Java se 8 api documentation,java.awt.image.DataBufferDouble.getBankData(),returns the data array for all banks.
Java se 8 api documentation,"java.awt.Container.addImpl(java.awt.Component,java.lang.Object,int)",adds the specified component to this container at the specified index.
Java se 8 api documentation,java.awt.AWTEventMulticaster.ancestorResized(java.awt.event.HierarchyEvent),handles the ancestorresized event by invoking the ancestorresized methods on listener-a and listener-b.
Java se 8 api documentation,"java.awt.Graphics2D.drawRenderedImage(java.awt.image.RenderedImage,java.awt.geom.AffineTransform)","renders a renderedimage, applying a transform from image space into user space before drawing."
Java se 8 api documentation,"java.sql.DatabaseMetaData.getAttributes(java.lang.String,java.lang.String,java.lang.String,java.lang.String)",retrieves a description of the given attribute of the given type for a user-defined type (udt) that is available in the given schema and catalog.
Java se 8 api documentation,java.util.Spliterator.OfPrimitive.forEachRemaining(java.util.Spliterator.OfPrimitive),"performs the given action for each remaining element, sequentially in the current thread, until all elements have been processed or the action throws an exception."
Java se 8 api documentation,java.util.Iterator.forEachRemaining(java.util.function.Consumer<? super java.util.Iterator>),performs the given action for each remaining element until all elements have been processed or the action throws an exception.
Java se 8 api documentation,java.io.DataOutput.writeLong(long),"writes a long value, which is comprised of eight bytes, to the output stream."
Java se 8 api documentation,java.awt.LayoutManager.preferredLayoutSize(java.awt.Container),"calculates the preferred size dimensions for the specified container, given the components it contains."
Java se 8 api documentation,"java.awt.image.DataBufferShort.setElem(int,int,int)",sets the requested data array element in the specified bank from the given integer.
