query name,avg_round
return iterator over elements,1.0
return source for reading,0.0
return value given array of normalized color alpha components,0.0
give ability given component,0.0
return hash code value for tabulardata instance,0.0
set orientation to swingconstants,0.0
get color property from jcomponent,0.0
set data buffer for packet,0.0
add name to pathtonames criterion,0.0
return namespaceuri item in collection,0.0
leave group on interface,0.0
encode bytes from byte array,1.0
set width in chars,0.0
return value of this byte as byte,0.0
retrieve ui information as such,0.0
produce method handle for method,0.0
return dimension in units,0.0
set value to minimum,0.0
obtain information about target lines of a particular type,0.0
represent class within constructor,0.0
compare serialblob to object,0.0
obtain instance of dayofweek from int value,0.0
retrieve attribute in sqlinputimpl object,1.636
add point to bounds of this rectangle,0.0
remove reference object in queue,1.0
get parameter as object,0.0
compare date time to date time,1.0
return path to menu item,0.0
return scripting language program with statements,0.0
return reference to default socket factory,0.0
set compression level for entries,0.0
parse string argument as signed,0.0
return hash code value for field,0.0
return reference to uridereferencer,0.0
return number of buttons on mouse,0.0
add value to element,0.0
compare vmid to another,0.0
add attribute to element,0.0
return alignment along axis,1.0
return pixel data for rectangle of pixels,0.0
find method type with parameter types,0.0
return number of milliseconds since january,0.0
read attribute in stream,0.0
get fontmetrics for font,0.0
set owner of this decoder to owner,0.0
create rollover border for toolbar components,0.0
return server socket with listen backlog,0.0
insert text at position,0.0
initialize signature object with key,0.0
retrieve name for object,0.0
receive focus on shown,0.0
return directionality property for character,0.0
return hashcode for set of attributes,0.0
convert array of bytes into string,0.0
set executor for endpoint instance,0.0
create value from object,0.0
return border instance for desktop icon,0.0
return result from applying,0.0
return thread in queue,0.0
compare field against object,0.0
set keys for traversal operation,0.0
set bounds of this rectangle to bounds,0.0
return field size in bits,0.0
return java language modifiers for member,0.0
set layout manager for jscrollpane,0.0
set name of the designated column to string,0.0
create singlepixelpackedsamplemodel with width,0.0
write text to output,0.0
return class instance for class,0.0
return rootpane object for applet,0.0
make proxy for mbean,1.0
get declaration from xml declaration,0.0
assert entity as object,0.0
insert value into dynany,1.0
remove attribute with name,0.0
read idl typecode from input stream,0.0
connect socket to server,0.0
send redo to undoableedits,0.0
read bit integer from file,0.0
return number of components on menu,0.0
obtain soundbank object from inputstream,0.0
return stream with buffer,0.0
output value in object,0.0
create ui for jtextfield,0.0
translate string from ascii encoding,0.0
consider visibility for sizing,0.0
apply pattern string to date format,1.0
return length of text in line,0.0
obtain soundbank object from url,0.0
resolve name into object reference,0.0
get hostnameverifier in place,0.0
change action for input errors,0.0
return baseline for textlayout,0.0
return model for selections,0.0
import parameters from params,0.0
compare object with simpledateformat,0.0
obtain date from clock,1.0
enable event delivery to menu item,0.0
set encoding style for soapelement object,0.0
return hashcode for field,0.0
refresh row with value,0.0
update column in row of this cachedrowset object,0.0
set jinternalframe in jdesktoppane,0.0
set time stamp for event,0.0
return index for reading,0.0
process events on menu item,0.0
set location of the end points of this curve to float,0.0
set handling of multiple copies including collation,0.0
return hash code value for curve,0.0
hold pixels for image,0.0
return number of rows in text area,0.0
create implementation for passed,0.0
add attribute value to attribute,0.0
return size in bits of samples,0.0
retrieve notifications from connector server,0.0
return index of a transparent pixel in indexcolormodel,0.0
lose drawing buffer since call,0.0
add element to set,0.0
determine ip address of a host given name,0.0
return size for container,1.0
return modifier mask for event,1.0
set pixel in databuffer,1.0
get index of this object in parent,1.0
compare obj for equality,0.0
find resource with name,1.0
create timer notification with type,0.0
get collator for locale,0.0
write end tag to output,0.0
return copy of this localdate with altered,0.0
combine date with time,1.0
compute hash code for pathname,0.0
associate value with key,1.833
attribute names for configuration,0.0
get offset within text,0.0
remove resource bundles from cache,0.0
obtain date in calendar system,0.0
return completionstage with result,0.0
return binding for key,0.0
translate vertices of the polygon by deltax,0.0
set metadata for endpoint,0.0
set number of rows in layout,0.0
construct cookies from cookie header string,0.0
remove iioreadwarninglistener from list of registered error listeners,0.0
return list of memorypoolmxbean objects in machine,0.0
return value between origin,1.0
get scroll offset in pixels,0.0
set background color for component,0.0
set database password for object,0.0
set layout manager for container,0.0
return class object for annotation type,0.0
set parameter to string value,0.0
create singlepixelpackedsamplemodel with subset of the bands of this singlepixelpackedsamplemodel,0.0
add point to path,1.0
return preference node in tree,0.0
set compression method for entry,0.0
add dragsourcelistener to dragsourcecontext,0.0
create typecode object for idl type,0.0
replace element at position,0.0
return rollover icon for button,0.0
get label for menu item,0.0
get date time formatter with formatting styles,0.0
set number of rows in model,0.0
convert bigdecimal to long,1.0
set parameter to value,1.0
obtain date in hijrah calendar system,1.0
read attribute in stream,0.0
register channel with selectors,0.0
return layer value from children,1.0
set data source name property for object,0.0
return samples for pixel,1.0
return action for input errors,0.0
return stream with collection,1.0
remove occurrence of the argument from list,0.0
return value for variable,0.0
get collection of subject alternative names from extension,0.0
get value of the specified field from era,0.0
return instance of an awtkeystroke given code,0.0
install keyboard actions for ui,0.0
initialize implementation with applet,0.0
get object based on templates argument,0.0
treat case as case,0.0
return action for character errors,0.0
get mediasize for media,0.0
write fields of the current class to stream,0.0
return amount for block increment,0.0
return character for awtkeystroke,0.0
install listeners into panel,0.0
return map of general request properties for connection,0.0
read attribute in stream,0.0
return object in sequence,0.0
convert object to instant,1.0
send message to endpoint,0.0
add menu item to menu,0.0
edit cell at row,0.0
read data from input buffer,0.0
add point to path,1.0
append string representation of the int argument to sequence,0.0
return binding for endpoint,0.0
create xmlstreamreader from reader,0.0
return port number on host,0.0
return hit for caret,1.0
parse url as schema,0.0
return objects for entry,0.0
return number of components in name,0.0
set pixel in databuffer,1.0
add listener to changes,0.0
return copy of this offsetdatetime with number of minutes,0.0
query information on reply,0.0
extract value from dynany,1.0
set orientation for scrollbars,0.0
set owner of this encoder to owner,0.0
set layer attribute on component,1.0
return value of the field on object,0.0
get display name for field,0.0
return copy of this localdatetime with hour,0.0
write array of bytes to zip entry data,0.0
support always mode for window,0.0
return string table for class sides,0.0
create default cell editors for objects,0.0
return comparator with function,0.0
return copy of this instant in milliseconds,0.0
convert place in view,0.0
return value with sign,0.0
return hash code value for map,1.0
update element at index,1.0
return context classloader for thread,0.0
clear attributes in manifest,0.0
get file object for input,0.0
set count to count,0.0
return value for calendar field of this gregoriancalendar instance,1.0
map key to value,0.0
set foreground color at index,0.0
create relation type with role,0.0
return string representation of the value at location,0.0
read idl float from input stream,0.0
return element in list,1.0
set parameter to type,0.0
create longstream from spliterator,0.0
undo changes from index of the next edit,0.0
add listener to list,0.0
compare mathcontext with object,0.0
determine value of the system property with name,0.0
set value of this scrollbar to value,0.0
add item at index,0.0
set value of the dooutput field to value,0.0
return samplemodel based on settings,0.0
obtain instance of localtime from text string,1.0
return set of constructors in elements,0.0
initialize factory with source of key material,0.0
return keys for awtkeystroke,0.0
return height in pixels,0.0
set value in cell,1.0
get offset for instant,0.0
return number of rows in table,0.0
return number of bits for color alpha component,0.0
get space below setting,0.0
return value of the specified number as int,0.0
enumerate names along with class names of objects,0.0
return permissioncollection object for storing,1.0
set parent of the receiver to newparent,0.0
return volatileimage with data layout,1.0
record int value into summary information,0.0
write object to output stream,0.0
assign certificate to alias,1.0
add listeners to jcombobox,0.0
return iterator over elements,1.0
append acolumn to end of the tablecolumns,0.0
remove item from model,0.0
delete column from tablecolumns,0.0
get title for use,0.0
write struct object in java programming language,0.0
draw label at value,0.0
return runnablefuture for value,0.0
return enumeration value table for class severity,0.0
report property update to listeners,1.917
invoke method on ui,1.0
produce method handle for method,0.0
obtain instance of isoera from int value,0.0
set parent for child view,0.0
create mbeanserverdelegate for mbeanserver,0.0
set item in choice menu,0.0
set component at index of this list,0.0
move component to bottom of the components,0.0
return string representation for methodhandleinfo,0.0
start ssl handshake on connection,0.0
initialize agreement with key,0.0
set attribute value in list of attribute values,0.0
compare name to charsequence,0.0
create preparedstatement object for sending,0.0
convert point in source coordinate system,0.0
retrieve value of the designated column in row of this resultset object,1.474
insert element at position,1.0
append chronology as such,0.0
check privatecredentialpermission objects for equality,0.0
convert float argument to int,0.0
return hash code value for date time attribute,0.0
create node element value for soapfault,0.0
return comparator with function,0.0
read sequence of bytes from channel,1.5
generate object from specification,1.0
obtain value for desktop property,0.0
delete addresses from reference,0.0
reset ui property to value,0.0
return length in bytes,1.0
append string representation of the codepoint argument to sequence,0.0
set value of the mime header to string,0.0
fetch stream for url,0.0
return event in series of events,0.0
write idl value to output stream,1.0
assign value to flag of a specific attribute,0.0
write idl value to output stream,1.0
return page size for object,0.0
mark position in input stream,1.0
return hash code for value,0.0
add stream to output stream,0.0
return border instance for jtextfield,0.0
remove event from eventqueue,0.0
update column with rowid value,0.0
get revocation date from x509crlentry,0.0
remove component from pane,0.0
return hash code value for object,0.0
copy array of green color components into array,0.0
obtain instance of offsetdatetime from year,0.0
retrieve value of the designated column in row of this resultset object,1.474
add segment to path,0.0
return style with size,1.0
remove selection listener from list,0.0
obtain instance of zoneddatetime from text string,1.0
get size of this text field with number of columns,0.0
return model index for column,0.0
return keytab instance from file object,0.0
insert boolean into value field,0.0
read double from file,0.0
return hash code value for acl entry,0.0
return enumeration value table for class,0.0
read value of a defined attribute into buffer,0.0
return bit offsets into data array element,0.0
cancel registration with watch service,0.0
return drop location for component,0.0
invoke gettooltiptext method on ui,0.0
return copy of this period with years,0.0
return specifier for grayscale,0.0
return hash code value for map entry,0.0
add applet to list of components,0.0
insert value into dynany,1.0
return type given type,0.0
return iterator for list of qnames of service endpoints,0.0
return reference to object registry,1.0
get renderedimage instance of this image with default width,0.0
internalize contents of the given inputstream object into soapmessage object,0.0
get class object for customizer,0.0
enter association between object,0.0
add mechanism credential element to credential,0.0
move caret position to position,1.0
return hashcode for uri attribute,0.0
return color from defaults,0.0
convert stylecontext to string,0.0
read idl octet value from input stream,0.0
create soapbodyelement object with name,0.0
retrieve value for object,0.0
return copy of this localdatetime with number of weeks,0.0
add value to attribute,0.0
set title at index,0.0
process events on scrolling list,0.0
call dragexit on dragsourcelisteners,0.0
create validator for schema,0.0
return hash code for char value,0.0
set pane for root pane,0.0
append time zone region as such,0.0
get space above setting,0.0
add attribute with name,0.0
return float value given value of the control point,0.0
get file object for output,0.0
return completablefuture with result,0.0
convert argument to long,1.0
dispatch event to component,0.0
invoke method on ui,1.0
return control to client,0.0
add undoableedit to undoableedit,0.0
convert bytebuffer into instance of class class,1.0
retrieve values of roles with names,0.0
set sample in band,0.0
parse xml document from resource,0.0
map name to object,0.0
return index number of this thread in pool,0.0
return unicodescript constant with unicode script name,0.0
wrap character sequence into buffer,0.0
return copy of this period with days,0.0
uninstall keyboard actions for ui,0.0
set identifier for source,1.0
reset crc-32 to value,0.0
return iterator over child nodes of this element,0.0
set layer property on jcomponent,0.0
create view for element,0.0
return detail message for soapexception object,0.0
obtain instance of yearmonth from text string,1.0
obtain instance of month from int value,0.0
return width of a tile in image,0.0
create texthitinfo on edge of the character,0.0
detect row update by calling,0.0
register servant with poa,0.0
read interface from input stream,0.0
return value between origin,1.0
compare mbeanoperationinfo to another,0.0
remove menu item from menu,0.0
clean connection to file,0.0
select text in textcomponent,0.0
create port for service,0.0
return copy of this date with amount,0.0
convert biginteger to byte,0.0
skip number of characters in stream,0.0
return optionalint with value,0.0
initialize factory with source of specific key material,0.0
add listener to list,0.0
retrieve term for schema,0.0
create ui object for jtextarea,0.0
convert hit to point,0.0
get commands for mime type,0.0
return number of name value pairs in list,0.0
get value of the designated column in row of this resultset object,0.0
return count of elements in stream,0.0
compare date time to date time,1.0
return object in sequence,0.0
get actions for permission,0.0
add element to list of legal children,0.0
convert biginteger to double,0.0
return hashcode for activationdescs,0.0
set parameter in command,0.0
perform layout for axis of the box,0.0
return breakiterator instance for line breaks,0.0
initialize cipher with key,0.0
return path to element,0.0
remove set of attributes with name,0.0
return hash code value for compositedatasupport instance,0.0
log method entry with array of parameters,0.0
make copy of this pageformat with contents,0.0
compare specification version with version,0.0
get information about properties,0.0
return copy of this offsetdatetime with nano,0.0
determine integer value of the system property with name,0.0
remove propertychangelistener from listener list,0.0
return number of unicode code points in text range of this sequence,0.0
retrieve attribute in sqlinputimpl object,1.636
return field values in descriptor,0.0
get value for property,1.0
update checksum with array of bytes,1.0
get gap between components,1.0
return lookup object with capabilities,0.0
set parameter to int value,0.0
change state of the poa manager to discarding,0.0
return hashcode for method,0.0
return reference to orb,0.0
return class name for object,0.0
initialize generator for keysize,1.0
create spliterator over elements,1.0
combine time with time zone,0.0
return copy of this offsetdatetime with number of weeks,0.0
get value of the specified field from year,0.0
return index into array of hyperlinks,0.0
set parameter in command,0.0
return hash code for mathcontext,0.0
update column with float value,0.0
write attribute to stream,1.0
set executor for service instance,0.0
stash html render for text,0.0
return layerui for jlayer,0.0
return value for calendar field of this calendar instance,1.0
get value of the named boolean field from field,0.0
get layout manager for container,0.0
return index within string of the first occurrence of the specified substring,0.0
write namespace to output stream,0.0
return number of bits in representation of the specified long value,0.0
set parameter to java,1.0
set syncprovider object for object,0.0
return index within string,0.0
remove item at position,0.0
write len characters from character array,0.0
obtain date in calendar system,0.0
convert string argument into biginteger value,0.0
get value of the specified field from date,1.0
paint region in component,0.0
create endpoint object with binding,0.0
get enumeration of known factories for producing,0.0
return date in sequence,1.0
append url to list of urls,0.0
draw line between end points,0.0
find class with name,1.0
set value of the usecaches field of this urlconnection to value,0.0
return number of unicode code points in text range of this string,0.0
add elements in values,0.0
set location of the framing rectangle of this shape to values,0.0
return hash code value for openmbeanparameterinfosupport instance,0.0
set input source to file,0.0
return hash code value for field,0.0
parse string argument as integer,1.0
install listeners on button,0.0
return stream for socket,0.0
fetch location along flow axis,0.0
obtain date in chronology,1.0
return cursor object with type,0.0
add name to issuernames criterion,0.0
create texthitinfo at offset,0.0
remove attributes from map,0.0
return type for term key,0.0
obtain month day from system clock,1.0
set column name of the designated column to name,0.0
return list of types in elements,0.0
return border from defaults,0.0
return element in list,1.0
set index of the current animation frame to value,0.0
compare object with keytab,0.0
handle change events from model,0.0
return port number on host,0.0
mark permissioncollection object as readonly,0.0
create lookup on lookup class,0.0
create level window for use,0.0
replace element at position,0.0
retrieve stream at position pos,0.0
search array of longs for value,0.0
return number in sequence,1.0
get value of the named float field from field,0.0
return rendering hints for rasterop,0.0
reset validator to configuration,0.0
obtain date from system clock,1.5
return handler for worker threads,0.0
get value of the specified field from year month,1.0
read len chars from stream,0.0
get timezone for zoneid,0.0
return reference to object,1.75
render textlayout at location,0.0
return date in month,0.0
invoke getaccessiblechild method on ui,0.0
compare compoundname with object,0.0
get index of the selected item on list,0.0
get nth component in container,0.0
return hash code value for pageattributes,0.0
return hashcode for subject,0.0
add binding to keymap,0.0
return hashcode for transform,0.0
convert bundlename to form,0.0
take value from abstractformatter,0.0
return distance from point2d,0.0
return samples for band,0.0
set size of the popup window to width,0.0
return element in set,1.0
arrive thread at exchange point,0.0
convert string argument into bigdecimal value,0.0
return name for design axis,0.0
initialize signature object with key,0.0
return mime headers for object,0.0
return copy of this yearmonth with number of months,0.0
select directory in ui,0.0
return hash code value for method type,0.0
set caret position to position,0.0
enable replay detection for per security services,0.0
obtain date time from clock,0.0
return currency symbol for currency of these decimalformatsymbols,0.0
return distance from point2d,0.0
add event to consumer,0.0
write string to destination,0.0
read character from file,0.0
associate editor with text document,0.0
return enumeration value table for class printerisacceptingjobs,0.0
remove mappings from object,0.0
remove row at row,0.0
obtain input stream from file,1.0
bind socket to address,0.0
add vetoablechangelistener to beancontextchild,0.0
return value between zero,1.0
read string in format,0.0
lay jsplitpane layout based on size of the children,0.0
read bytes from stream,1.778
return copy of this yearmonth with number of months,0.0
update column with value,0.0
return object from system properties,0.0
create endpoint object with address,0.0
retrieve attributes for type,0.0
expand path components in path,0.0
retrieve events for watch,0.0
add short to list of parameters,0.0
disallow object reference from stored,0.0
convert character argument to uppercase,0.0
create destination image with size,0.0
map systemexception to remoteexception,0.0
remove tab at index,0.0
return control object from input method,0.0
return code location for object,0.0
read sql datalink value from stream,0.0
calculate size dimensions for container,0.0
support subqueries in exists,0.0
set multiplier for use,0.0
advance scanner past line,0.0
pop element from stack,0.0
invoke contains method on ui,0.0
obtain date from epoch day,1.0
install keyboard actions onto jspinner,0.0
render pages in color,0.0
return script for locale,0.0
set property values in context object,0.0
return value with bit,0.0
help utility method in loading,0.0
return alignment of contents along axis,0.0
return breakiterator instance for character breaks,0.0
add action listener to timer,0.0
add character to list of parameters,0.0
get number of nanoseconds along later,0.0
indicate location in coordinates,0.0
detect row insert by calling,0.0
space indent maps to subclasses,0.0
verify mic over message,0.0
mark position in stream,1.0
search list for object,0.0
get error message with location information,0.0
remove event listener from list of components,0.0
create default columns for table,0.0
convert element to string,0.0
append geometry of the pathiterator object to path,0.0
get value of the specified field from date,1.0
return hash code value for list,0.0
set gregoriancalendar to date,0.0
create detailentry object with qname,0.0
set data array element in bank,1.6
add component with tab title,0.0
disconnect object from orb,0.0
remove attribute with attribute,1.0
see print dialog for jobs,0.0
set image type for destination image,0.0
obtain time interval in microseconds,0.0
return value for parameter,2.0
remove listeners from combo box,0.0
return bounding rectangle in coordinate system,1.0
compare object with acl entry,0.0
return string version of this size attribute in units,0.0
receive item events from list,0.0
get value of the specified field from era,0.0
release reference to service,0.0
initialize generator for keysize,1.0
provide hint about level of the class,0.0
return attribute in sqlinputimpl object,1.0
obtain media length in sample frames,0.0
change listselectionlisteners in interval firstindex,0.0
set mime header with value,0.0
retrieve argument mode flag for object,0.0
assign int value to element of the specified array of ints,0.0
read value from input stream,1.0
create urlstreamhandler instance with protocol,0.0
paint border for component,0.0
obtain date from system clock,1.5
process len bytes in input,0.0
get target editor for action,0.0
retrieve value of the designated column in row of this resultset object,1.474
send undo to undoableedits,0.0
obtain information about mixer,0.0
remove tabs from tabbedpane,0.0
copy components of this vector into array,0.0
remove mouse motion listener from mouse motion listener,0.0
return copy of this offsetdatetime with number of nanoseconds,0.0
set gap between components,1.0
get location of the relative object in form of a point,0.0
create default columns from model,0.0
compare obj with openmbeanoperationinfo instance,0.0
reset builder to state,0.0
set border property with value,0.0
paint representation of the value into area of real screen estate,0.0
add changelistener to slider,0.0
calculate amount of time until temporal,0.0
return type element given name,0.0
set data for rectangle of pixels,0.0
process focus events as such,0.0
draw lines between cells,1.0
display image as icon,0.0
set bounds for frame,1.0
return name for code,1.0
set text for label,0.0
retrieve number of components in name,0.0
return reference to editor component,0.0
return copy of this offsetdatetime with number of hours,0.0
expect data in relateddata,0.0
fetch action for event sequence,0.0
display icon for computer node,0.0
return mime type for dataflavor,0.0
set margin space between border,0.0
move iterator to segment of the path,0.0
retrieve headers for attachmentpart object,0.0
create array with component type,0.0
get paintcontext for painting operation,0.0
receive container events from container,0.0
remove changelistener from slider,0.0
return string table for class,0.0
set cursor for drag operation,0.0
return breakiterator instance for character breaks,0.0
create layout manager for managing,0.0
convert value into string,1.0
return accessible at row,0.0
obtain instance of year from object,0.0
create raster with samplemodel,0.0
move rectangle to location,0.0
set escape processing on or,0.0
return root poa from instance,0.0
return position in serialblob object,0.0
update column with value,0.0
write contents of this byte array output stream to output stream argument,0.0
create compound border with edge,0.0
return pseudorandom from sequence,0.0
write float value to stream,0.0
return samples for pixel,1.0
add popup menu to component,0.0
return mime type string for dataflavor,0.0
obtain year from system clock,1.0
scan token of the input as byte,0.0
return result from applying,0.0
invoke method on object,0.0
convert string argument into string,0.0
set root to being,0.0
return string table for class jobstatereason,0.0
add changelistener to button,0.0
obtain instance of chronology from locale,0.0
bring dialog panel with icon,0.0
add keymap into keymap hierarchy,0.0
add element to set,0.0
get value of the specified field from day,1.0
set concurrency of this rowset object to concurrency level,0.0
retrieve direction for fetching,0.0
add keyboard actions to jcombobox,0.0
return base name for locating,0.0
return selection mode for list,0.0
return enumeration for set of allowed permissions,0.0
set position to getendindex(),0.0
return copy of this offsetdatetime with altered,0.0
return location of the corresponding destination point given point,0.0
write idl string value to output stream,1.0
remove track from sequence,0.0
return component for xml schema,0.0
combine components for byte pixels,0.0
insert string into content,0.0
set renderer in tablecolumn,0.0
return permissioncollection object for storing,1.0
return hashcode for pkcs12attribute,0.0
allow events from mouse buttons,0.0
return rollover border for button,0.0
set number of columns in text field,0.0
obtain date from proleptic year fields,0.0
write int to output stream,0.0
set type name to string,0.0
assign value to flag of a specific attribute,0.0
obtain thaibuddhistdate from clock,0.0
register listener for event,0.0
return identifier for object reference,0.0
read sql rowid value from stream,0.0
extract object from dynany,0.0
set icon at index,1.0
install event listeners for ui,0.0
add ior interceptor to list of ior interceptors,0.0
add set of rules to sheet,0.0
write data to output stream,1.5
return codebase for valuehandler,0.0
obtain instance of localdatetime from instant,0.0
convert string argument into int value,0.0
select item at index anindex,0.0
return number of images including not,0.0
set properties from attributes,0.0
return pane for frame,0.0
install property with name,0.0
remove key from map view,0.0
obtain instant from system clock,0.0
return breakiterator instance for word breaks,0.0
map index of the column in view,0.0
add value to tabulardata instance,0.0
return algorithmparametergenerator object for generating,0.0
return token for transfer,0.0
return dimension in units of micrometers,0.0
remove print service listener from print service,0.0
retrieve width in chars of the designated column,0.0
bind datagramsocket to address,0.0
return hashcode for fontrendercontext,0.0
create xmlstreamreader from java,0.0
return copy of this offsetdatetime with number of minutes,0.0
set draggeddistance to distance,0.0
return distance from point,0.0
write data to output stream,1.5
return layout orientation property for list,0.0
insert separator at position,0.0
obtain instance of localdatetime from year,1.667
return root element of the bidirectional structure for document,0.0
load class from codebase url path,1.0
append string to character sequence,0.0
get break weight for location,0.0
pop element from stack,0.0
return location of the destination point given point,0.0
report property update to listeners,1.917
set error event listener in effect,0.0
post event to frame,0.0
return consumer after the,0.0
create soapelement object from dom element,0.0
add extension attribute to wsa,0.0
return uri of the namespace for xml name,0.0
perform validation on xml content,0.0
compare urls excluding component,0.0
return value for parameter,2.0
create object from value,0.0
set data array element to int,1.0
return key in map,1.0
obtain hijrahdate of the umm al qura calendar from clock,0.0
return list of locales as candidate locales,0.0
truncate value on read,0.0
broadcast completion of an image by calling,0.0
provide reference to orb,0.0
obtain time from clock,0.0
return string from defaults,0.0
get gap between components,1.0
return string representation of this ldap name in format,0.0
insert element into queue,1.0
return reference to dom node,0.0
obtain midi receiver from midi port,0.0
remove states from state,0.0
change control value to value,0.0
rebind name to object,0.0
return reference to uridereferencer,0.0
return array for notification,0.0
return checksum for output stream,0.0
calculate period between date,1.0
create service loader for service type,1.0
return alignment along axis,1.0
create typecode object for idl value type,0.0
return style with size,1.0
return boolean with value,0.0
return hash code value for openmbeanattributeinfosupport instance,0.0
parse text from string,1.0
convert xsd string argument into string value,0.0
return path to node,0.0
return height of the font from passed,0.0
bind name to object,1.667
insert content into document,0.0
accept value as value of the editor,0.0
convert segment into string,0.0
return index position of the specified object in list,0.0
get foreground color from attribute,0.0
add amount to calendar field,1.0
create mimeheader object with name,0.0
set value of a field as float,0.0
create database connection for object,0.0
set location to values,0.0
insert float value into dynany,0.0
set hint for image,0.0
support data flavor for object,0.0
write content from document,1.0
compile expression into pattern,1.0
read characters into character buffer,0.0
open file for writing,1.0
return width of the specified character in font,0.0
return context for event,0.0
retrieve attribute in sqlinputimpl object,1.636
obtain information about source lines of a particular type,0.0
compare object with entry,0.0
encode string into sequence of bytes,1.0
return hash code value for arraytype instance,0.0
show lsserializer to filter,0.0
read corba context from stream,0.0
get value of the specified field from year month,1.0
return orientation for jsplitpane,0.0
push value to spinnermodel,0.0
apply times to date,0.0
return thread info for thread,1.0
return depth in stack trace,0.0
return index into buttons,0.0
get object based on transformation instructions,0.0
return value as value,0.0
write sequence of bytes to channel,1.5
append default value for field,0.0
return sample in band,0.0
return data array for bank,0.0
obtain midi sequence from file,0.0
compare uri to object,0.0
return copy of this localdate with number of months,0.0
compare marshalledobject to object,0.0
revoke registration for activation descriptor,0.0
set slave synchronization mode for sequencer,0.0
get index of this object in parent,1.0
set attributes of this search result to attrs,0.0
lay subcomponents of this jinternalframe at size,0.0
get number of rows in layout,0.0
get change information for element,0.0
return integer number format for default format locale,0.0
return iterator over soapheaderelement objects,0.0
return copy of this time with field,0.0
obtain japanesedate from system clock,1.0
get amount of daylight savings in use,0.0
write string to output stream,1.0
create spliterator over elements,1.0
return tablecolumn object for column,1.0
convert array of bytes into instance of class class,1.0
append string representation of a subarray of the char array argument to sequence,0.0
return value at unit of granularity,0.0
convert data for index,0.0
return copy of this localdatetime with number of hours,0.0
truncate entity to size,0.0
add descriptors in modelmbeaninfo,0.0
return copy of this yearmonth with number of years,0.0
convert location to point,0.0
set catalog name to string,0.0
replace stream metadata in output,0.0
append date time pattern to formatter,0.0
create validatorhandler for schema,0.0
set linenumber field on event locator,0.0
call method on url,0.0
remove item from item list,0.0
set drop mode for component,0.0
read valuetype header for custom valuetype,0.0
remove edits in range,0.0
read byte of data from input stream,1.75
create instance for application,0.0
initialize pair generator for modulus length,0.0
set location of the end points of this curve to coordinates of the point2d objects,0.0
activate editor as result of the jtable forwarding keyboard events,0.0
create popup for component owner,0.0
reset choosable file filter list to starting state,0.0
compute remainder operation on arguments,0.0
bind name to object,1.667
allow registration of event listeners on event target,0.0
translate string into application,0.0
return path to menu item,0.0
return debugging options for debuggraphics,0.0
set menubar property for jinternalframe,0.0
register mbean with mbean server,0.0
create socket address from hostname,0.0
initialize signature engine with parameter set,0.0
remove element from set,0.0
compare objects for value equality,0.0
parse string argument as byte,0.0
compare bigdecimal with object,0.0
remove listener from list,1.0
