query name,avg_round
perform for axis of the box,0.0
return for line breaks,0.0
initialize with key,1.111
return to element,2.0
remove with name,1.0
return for compositedatasupport instance,0.0
log with array of parameters,0.0
make with contents,0.0
compare with version,0.0
get about properties,1.0
return with nano,1.0
determine with name,1.0
remove from listener list,1.0
return in text range of this sequence,0.0
retrieve in sqlinputimpl object,1.636
return in descriptor,2.2
get for property,1.562
update with array of bytes,1.0
get between components,1.0
return with capabilities,0.0
set to int value,1.0
change to discarding,0.0
return for method,1.4
return to orb,1.75
return for object,2.077
initialize for keysize,2.0
create over elements,1.0
combine with time zone,1.4
return with number of weeks,1.0
get from year,0.0
return into array of hyperlinks,0.0
set in command,0.0
return for mathcontext,0.0
update with float value,0.0
write to stream,1.5
set for service instance,1.0
stash for text,0.0
return for jlayer,0.0
return for calendar field of this calendar instance,1.0
get from field,1.0
get for container,1.0
return within string of the first occurrence of the specified substring,0.0
write to output stream,1.8
return in representation of the specified long value,0.0
set to java,1.0
set for object,1.742
return within string,4.137
remove at position,1.6
write from character array,0.0
obtain in calendar system,0.0
convert into biginteger value,1.0
get from date,1.333
paint in component,2.625
create with binding,0.0
get for producing,0.0
return in sequence,1.438
append to list of urls,0.0
draw between end points,0.0
find with name,1.857
set to value,2.011
append to end of this vector,1.0
return in text range of this string,0.0
add in values,1.4
set to values,1.188
return for openmbeanparameterinfosupport instance,0.0
set to file,1.4
return for field,1.0
parse as integer,1.0
install on button,0.0
return for socket,1.5
fetch along flow axis,0.0
obtain in chronology,1.5
return with type,2.24
add to issuernames criterion,0.0
create at offset,0.0
remove from map,1.0
return for term key,0.0
obtain from system clock,2.048
set to name,1.857
return in elements,1.567
return from defaults,1.095
return in list,1.667
set to value,2.011
compare with keytab,0.0
handle from model,1.0
load from file,0.0
return on host,0.0
mark as readonly,0.0
create on lookup class,0.0
create for use,1.0
replace at position,1.0
retrieve at position pos,0.0
search for value,1.0
return in sequence,1.438
get from field,1.0
return for rasterop,0.0
reset to configuration,1.0
obtain from system clock,2.048
return for worker threads,0.0
get from year month,1.0
read from stream,1.382
get for zoneid,0.0
return to object,2.077
render at location,1.0
return in month,1.0
associate with threadinfo,1.0
invoke on ui,1.212
compare with object,1.623
get on list,1.5
get in container,1.0
return for pageattributes,0.0
return for subject,1.0
add to keymap,1.0
return for transform,1.909
convert to form,0.0
take from abstractformatter,0.0
return from point2d,1.0
convert to case,1.0
return for band,1.0
set to width,1.667
return in set,2.36
arrive at exchange point,0.0
convert into bigdecimal value,1.0
return for design axis,0.0
initialize with key,1.111
return for object,2.077
pass in object,0.0
return with number of months,1.0
select in ui,0.0
take into account caret width,0.0
return for method type,1.0
set to position,2.579
enable for per security services,1.0
obtain from clock,1.1
return for currency of these decimalformatsymbols,0.0
return from point2d,1.0
add to consumer,0.0
write to destination,0.0
read from file,1.312
associate with text document,0.0
return for class printerisacceptingjobs,1.0
remove from object,1.556
remove at row,1.0
obtain from file,1.4
bind to address,1.0
add to beancontextchild,1.0
return between zero,1.5
read in format,0.0
lay based on size of the children,0.0
read from stream,1.382
return with number of months,1.0
update with value,1.545
return from system properties,0.0
create with address,0.0
retrieve for type,1.0
expand in path,1.0
retrieve for watch,1.5
read from input,1.0
add to list of parameters,1.0
disallow from stored,0.0
convert to uppercase,0.0
create with size,1.875
map to remoteexception,0.0
pass in image,0.0
remove at index,1.0
return from input method,1.0
return for object,2.077
read from stream,1.382
calculate for container,0.0
support in exists,0.0
set for use,1.0
advance past line,0.0
pop from stack,0.0
call on dragsourcelisteners,1.0
invoke on ui,1.212
obtain from epoch day,1.333
install onto jspinner,0.0
render in color,0.0
return for locale,1.619
set in context object,1.0
return with bit,1.0
help in loading,0.0
return along axis,1.571
return for character breaks,0.0
add to timer,0.0
add to list of parameters,1.0
get along later,0.0
indicate in coordinates,0.0
detect by calling,1.0
space to subclasses,0.0
verify over message,0.0
supply for compatibility,0.0
mark in stream,1.0
search for object,1.0
increment for object,0.0
get with location information,1.0
remove from list of components,1.0
create for table,1.0
convert to string,1.289
look at object,0.0
append to path,1.0
get from date,1.333
return for list,1.667
set to date,1.5
create with qname,1.0
set in bank,1.6
add with tab title,0.0
disconnect from orb,0.0
remove with attribute,1.737
see for jobs,0.0
set for destination image,0.0
obtain in microseconds,0.0
set before after,0.0
return for parameter,1.923
retrieve for savepoint,0.0
remove from combo box,0.0
return in coordinate system,1.5
compare with acl entry,0.0
return in units,1.0
receive from list,1.0
get from era,1.5
release to service,1.0
initialize for keysize,2.0
provide about level of the class,0.0
return in sqlinputimpl object,1.0
obtain in sample frames,0.0
change in interval firstindex,0.0
set with value,2.011
retrieve for object,1.88
assign to element of the specified array of ints,0.0
read from input stream,1.51
create with protocol,0.0
paint for component,2.625
obtain from system clock,2.048
process in input,0.0
get for action,0.0
retrieve in row of this resultset object,1.474
send to undoableedits,1.0
obtain about mixer,1.0
remove from tabbedpane,1.0
copy into array,1.0
remove from mouse motion listener,1.667
return with number of nanoseconds,1.0
set between components,1.0
get in form of a point,1.0
create from model,0.0
compare with openmbeanoperationinfo instance,0.0
reset to state,1.0
set with value,2.011
paint into area of real screen estate,0.0
add to slider,0.0
calculate until temporal,0.0
return given name,2.537
set for rectangle of pixels,1.0
process as such,1.0
draw between cells,1.0
display as icon,1.0
iterate through set of bindings,0.0
set for frame,1.5
return for code,1.667
set for label,1.5
retrieve in name,1.375
return to editor component,0.0
return with number of hours,1.0
expect in relateddata,0.0
fetch for event sequence,0.0
display for computer node,0.0
return for dataflavor,1.0
set between border,1.0
move to segment of the path,0.0
retrieve for attachmentpart object,0.0
create with component type,0.0
get for painting operation,0.0
receive from container,0.0
remove from slider,0.0
return for class,1.741
set for drag operation,0.0
return for character breaks,0.0
create for managing,0.0
convert into string,1.289
return at row,1.929
obtain from object,1.0
create with samplemodel,1.571
depend on type,0.0
move to location,1.0
set on or,0.0
return from instance,1.562
return in serialblob object,1.0
update with value,1.545
write to output stream argument,0.0
create with edge,1.6
return from sequence,1.438
write to stream,1.5
return for pixel,1.5
add to component,1.8
return for dataflavor,1.0
obtain from system clock,2.048
scan as byte,0.0
return from applying,0.0
invoke on object,0.0
convert into string,1.289
set to being,0.0
return for class jobstatereason,1.0
add to button,1.0
obtain from locale,1.0
bring with icon,1.0
add into keymap hierarchy,0.0
add to set,1.889
get from day,1.667
set to concurrency level,0.0
retrieve for fetching,0.0
add to jcombobox,1.0
return for locating,0.0
return for list,1.667
return for set of allowed permissions,0.0
set to getendindex(),0.0
return with altered,1.0
return given point,1.389
write to output stream,1.8
remove from sequence,0.0
return for xml schema,1.0
combine for byte pixels,0.0
insert into content,1.0
set in tablecolumn,1.0
return for storing,1.0
return for pkcs12attribute,0.0
allow from mouse buttons,0.0
return for button,1.25
set on dialog,1.0
set in text field,0.0
obtain from proleptic year fields,0.0
write to output stream,1.8
set to string,2.105
assign to flag of a specific attribute,0.0
obtain from clock,1.1
register for event,1.0
return for object reference,1.5
add to relation,1.0
read from stream,1.382
extract from dynany,1.455
set at index,1.357
install for ui,1.5
add to list of ior interceptors,0.0
add to sheet,0.0
write to output stream,1.8
return for valuehandler,0.0
pass in object,0.0
obtain from instant,1.286
convert into int value,1.0
select at index anindex,0.0
return including not,0.0
set from attributes,1.0
return for frame,1.0
install with name,1.0
remove from map view,0.0
obtain from system clock,2.048
return for word breaks,0.0
map in view,1.0
add to tabulardata instance,0.0
return for generating,0.0
return for transfer,1.0
return in units of micrometers,0.0
remove from print service,0.0
retrieve in chars of the designated column,0.0
bind to address,1.0
return for fontrendercontext,1.0
create from java,1.0
return with number of minutes,1.0
set to distance,0.0
return from point,1.389
write to output stream,1.8
return for list,1.667
insert at position,1.375
obtain from year,1.833
return for document,1.0
load from codebase url path,1.0
append to character sequence,1.0
get for location,0.0
occur on check box menu item,0.0
pop from stack,0.0
return given point,1.389
report to listeners,1.917
set in effect,0.0
post to frame,0.0
return after the,1.0
create from dom element,0.0
add to wsa,1.0
return for xml name,0.0
perform on xml content,0.0
compare excluding component,0.0
return for parameter,1.923
create from value,2.0
set to int,1.4
return in map,2.143
obtain from clock,1.1
return as candidate locales,0.0
truncate on read,0.0
broadcast by calling,1.0
provide to orb,0.0
obtain from clock,1.1
return from defaults,1.095
get between components,1.0
add to set,1.889
return in format,1.5
insert into queue,1.0
return to dom node,0.0
obtain from midi port,1.0
remove from state,1.0
change to value,0.0
rebind to object,0.0
return to uridereferencer,1.0
return for notification,1.0
return for output stream,1.75
calculate between date,1.667
create for service type,1.0
return along axis,1.571
create for idl value type,0.0
return with size,1.838
return with value,3.896
return for openmbeanattributeinfosupport instance,0.0
parse from string,2.0
convert into string value,1.0
return to node,1.533
return from passed,1.5
bind to object,1.667
add to set,1.889
insert into document,1.0
accept as value of the editor,0.0
convert into string,1.289
return in list,1.667
get from attribute,1.4
add to calendar field,1.0
create with name,1.533
set as float,1.333
create for object,1.571
set to values,1.188
insert into dynany,1.4
set for image,1.6
support for object,0.0
write from document,1.0
compile into pattern,1.0
read into character buffer,0.0
open for writing,1.0
return in font,2.308
return for event,2.214
retrieve in sqlinputimpl object,1.636
obtain about source lines of a particular type,0.0
compare with entry,0.0
encode into sequence of bytes,1.0
return for arraytype instance,0.0
show to filter,0.0
read from stream,1.382
get from year month,1.0
return for jsplitpane,0.0
push to spinnermodel,0.0
apply to date,0.0
return for thread,1.75
return in stack trace,0.0
return into buttons,1.667
get based on transformation instructions,0.0
return as value,3.896
write to channel,1.8
append for field,0.0
return in band,1.0
return for bank,1.889
obtain from file,1.4
compare to object,1.623
return with number of months,1.0
compare to object,1.623
revoke for activation descriptor,0.0
set for sequencer,0.0
get in parent,1.5
set to attrs,0.0
lay at size,0.0
get in layout,1.0
get for element,1.667
return for default format locale,1.0
return over soapheaderelement objects,0.0
return with field,1.0
obtain from system clock,2.048
get in use,1.0
write to output stream,1.8
create over elements,1.0
return for column,1.818
convert into instance of class class,1.6
append to sequence,1.0
return at unit of granularity,0.0
convert for index,0.0
return with number of hours,1.0
truncate to size,1.0
add in modelmbeaninfo,0.0
return with number of years,1.0
convert to point,1.286
set to string,2.105
replace in output,0.0
append to formatter,2.182
create for schema,1.0
set on event locator,1.0
call on url,0.0
remove from item list,1.0
set for component,2.417
read for custom valuetype,1.0
remove in range,0.0
read from input stream,1.51
create for application,0.0
initialize for modulus length,0.0
set to coordinates of the point2d objects,1.0
activate as result of the jtable forwarding keyboard events,0.0
create for component owner,0.0
reset to starting state,0.0
compute on arguments,0.0
wait on condition,0.0
bind to object,1.667
allow on event target,1.0
translate into application,0.0
return to menu item,0.0
return for debuggraphics,0.0
set for jinternalframe,1.4
register with mbean server,0.0
create from hostname,0.0
initialize with parameter set,1.0
remove from set,1.0
compare for value equality,0.0
parse as byte,0.0
inform of changes,0.0
compare with object,1.623
remove from list,1.438
remove from listener list,1.0
bind to address,1.0
append as such,1.286
return in coordinate system,1.5
return for ui components,0.0
create for view,1.583
return with hour,1.0
return to component of this key pair,0.0
convert to int,1.667
set for jdbc rowset object,0.0
create to target,0.0
return in currently,1.0
initialize with object,2.0
convert into string,1.289
return for tablecolumn,1.0
return from generator,1.0
obtain from system clock,2.048
compare to object,1.623
write to output stream,1.8
call on dragsourcelisteners,1.0
return according to ieee point format layout,1.0
insert with label,0.0
insert at front of this deque,1.333
set to coordinates,1.0
update with list of elements,0.0
compare for equality,1.13
mark as in need of layout,0.0
retrieve in enumeration,1.0
remove at position,1.6
convert into string,1.289
return for annotation member,0.0
get from text editing component,1.0
remove from jlist,0.0
write to output stream,1.8
compute for classvalue,0.0
append to end of the menu,1.0
return with selection,1.429
register in position parameterindex,1.0
specify to false,0.0
add to end of remaining name,1.0
return with minute altered,1.0
return in radix,1.0
return for cell,1.0
get from epoch of 01t00:00:00z,0.0
convert into string,1.289
invoke on ui,1.212
return from generator,1.0
insert into resultset object,0.0
set to value,2.011
create with canonicalization,0.0
return given pixel,1.5
invoke on listener,1.0
supply for compatibility,0.0
remove from reference list of each remote object,0.0
remove from mbean,0.0
return provided represent,0.0
fetch for child view,1.5
lay in direction,0.0
combine with time,1.429
connect to port number,0.0
return to object,2.077
set in command,0.0
convert into string,1.289
initialize with key,1.111
add to job state reasons,0.0
arrive at phaser,1.0
select in interval,1.0
push onto stack,1.0
calculate between date,1.667
return for drop,0.0
return for object reference,1.5
compare to timestamp object,0.0
return for storing,1.0
select in list,1.0
connect to address,0.0
advance to component,0.0
convert to path,0.0
write to stream,1.5
set for tabbedpane,1.0
set for frame,1.5
set in sql command,0.0
return with number of nanoseconds,1.0
retrieve for serialstruct,0.0
invoke on ui,1.212
read from input stream,1.51
set in band,1.0
return for doublestream,1.778
write to output stream,1.8
push onto stack of marked positions,0.0
set to value,2.011
read from input stream,1.51
retrieve for resultset object,1.0
set to path,1.0
initialize to value,1.0
report to listeners,1.917
return for applet,1.0
insert at position,1.375
interrupt in thread group,0.0
write to stream,1.5
set for currency of these decimalformatsymbols,1.0
set to color,1.286
read into portion of an array,0.0
remove in substring of this sequence,0.0
add to queue,1.0
set for component,2.417
return in image,2.111
return for pixel,1.5
write to output stream,1.8
read from file,1.312
return for state,1.0
set to value,2.011
insert into document,1.0
set for task,0.0
return for start_element,0.0
remove from tabulardatasupport instance,0.0
obtain in calendar system,0.0
initialize with key,1.111
set for instance,0.0
write to output stream,1.8
return at index,1.86
return in font,2.308
get for output,0.0
replace for key,1.0
hold in instance,0.0
append to sequence,1.0
return for applet,1.0
create for jsplitpane ui,1.0
return in pixels of the given image,1.0
get on list,1.5
set from paragraph attributes,0.0
set for control,0.0
send for relation removal,0.0
print for jobs,0.0
create from parameters,1.0
return in array of float,0.0
map into directly,0.0
return in month adjuster,1.0
write to stream,1.5
update at index,1.0
initialize with processing environment,1.0
set to value,2.011
set for accessing,0.0
invoke on look,0.0
perform for axis of the box,0.0
register with nimbuslookandfeel,0.0
schedule for delay execution,1.0
set in command,0.0
get for pixels,1.0
return for map,2.143
convert in object,1.364
convert to int,1.667
get for attachmentpart object,0.0
return to filesystem,1.0
register for events,0.0
add with name,1.308
return for component,3.712
support between values,0.0
return with amount,1.529
return in pixels,1.0
map to entities,0.0
remove from factory spi register,0.0
get for field,1.0
compare with openmbeanparameterinfosupport instance,0.0
create from image producer,0.0
obtain about set of source lines,0.0
log with information,1.0
return for use,1.0
return over elements,1.567
write to stream,1.5
read from input stream,1.51
get for key,1.25
create with size,1.875
define in unicode,0.0
return for serialarray,0.0
get with date,1.333
combine with offset,1.0
set to angle,0.0
set to java float value,0.0
compare with jmxprincipal,0.0
add for property,1.0
write for webrowset object,1.0
return for dataflavor,1.0
query for document flavors,0.0
write to file,1.231
return in use,1.0
make to url,0.0
convert into string,1.289
store in column,1.0
return since january,0.0
obtain in chronology,1.5
create with width,1.0
obtain from input stream of another specified format,0.0
add to pane,1.0
appear in scrollpane,0.0
remove for key,1.895
return with number of minutes,1.0
append to formatter,2.182
return for element,2.0
return for ellipse2d,0.0
compose with transform,0.0
remove from list,1.438
return for certificate type,0.0
specify as element of the list,0.0
sort at start,0.0
write to stream,1.5
flip to component,0.0
add to list of auxiliary look,0.0
read from input stream,1.51
get for property,1.562
remove for key,1.895
retrieve in row of this resultset object,1.474
invoke on ui,1.212
compute for path,0.0
return in colormodel,1.3
set in microseconds,1.0
scan as int,0.0
find with return type,0.0
create with subset of the bands of this componentsamplemodel,0.0
get for handler,0.0
return base64 character data,0.0
set to string,2.105
describe in rawdata,0.0
return for column,1.818
assign to element of the specified array of floats,0.0
return in milliseconds,1.5
return in range,1.4
add to beancontextchild,1.0
return as byte,1.0
return from bank,1.889
specify for datagrams,0.0
return for locale,1.619
retrieve in sqlinputimpl object,1.636
return for image format,0.0
register as parallel,0.0
convert to int,1.667
fill with data,1.0
reset to value,1.0
return including message,3.333
return for menu component,0.0
register for tooltip management,0.0
obtain for mouse button,0.0
return from defaults,1.095
submit for execution,1.0
return for entry,1.0
get in duration,1.0
associate with uuid,1.0
return for entry name,1.0
paint on slider,1.0
apply in accordance,0.0
return for component,3.712
return for serialjavaobject,0.0
set for trayicon,1.0
parameter to zone,0.0
return for system,1.6
update with stream value,1.0
insert at tail of this queue,1.429
return for object,2.077
find with name,1.857
provide for iioparam object,0.0
get for list,1.5
output in object,0.0
add to element,1.571
insert into sequence,1.0
get for locale,1.778
set to reader object,1.0
return from defaults,1.095
return with icon,2.24
remove from store,0.0
return to point2d,1.0
add to end of remaining name,1.0
return for layout,1.833
fetch for child view,1.5
return for output,0.0
put in mode,0.0
get in duration,1.0
write to channel,1.8
